Date,Open,High,Low,Close
2023-03-15,1903.414,1937.31,1885.83,1918.11
2023-03-16,1918.11,1933.42,1907.63,1921.51
2023-03-17,1920.85,1989.16,1918.37,1988.5
2023-03-20,1988.78,2009.75,1966,1978.5
2023-03-21,1978.44,1985.16,1935.56,1939.704
2023-03-22,1939.704,1978.78,1934.4,1969.714
2023-03-23,1969.374,2003.28,1964.74,1992.6
2023-03-24,1992.9,2003.002,1975.39,1976.9
2023-03-27,1978.32,1980.38,1944.11,1956.184
2023-03-28,1955.96,1975.25,1949.28,1973.3
2023-03-29,1973.14,1974.34,1958.82,1962.97
2023-03-30,1963.36,1984.26,1955.54,1980.36
2023-03-31,1980.274,1987.57,1966.86,1968.53
2023-04-03,1969.3,1990.46,1949.9,1984.168
2023-04-04,1984.37,2025.17,1977.1,2020.66
2023-04-05,2020.66,2032.13,2009.98,2020.35
2023-04-06,2020.49,2021.42,2000.97,2007.8
2023-04-10,2007.05,2007.8,1981.78,1990.71
2023-04-11,1990.7,2007.44,1988.9,2003.484
2023-04-12,2003.274,2028.32,2001.44,2014.404
2023-04-13,2014.27,2048.79,2013.9,2040.27
2023-04-14,2040.23,2047.47,1992.586,2003.43
2023-04-17,2004.03,2015.02,1981.29,1994.688
2023-04-18,1994.87,2011.83,1991.38,2005.104
2023-04-19,2005.07,2008.16,1969.34,1994.61
2023-04-20,1994.31,2012.34,1990.65,2004.334
2023-04-21,2004.32,2005.52,1971.736,1982.37
2023-04-24,1982.37,1990.82,1974.23,1988.85
2023-04-25,1988.81,2003.85,1976.26,1996.74
2023-04-26,1996.6,2009.34,1983.48,1989.87
2023-04-27,1989.198,2003.47,1974.236,1987.92
2023-04-28,1987.76,1995,1976.31,1989.62
2023-05-01,1991.1,2005.99,1977.22,1981.18
2023-05-02,1981.64,2019.36,1978.58,2016.58
2023-05-03,2016.58,2042.86,2008.09,2042.86
2023-05-04,2042.86,2081.82,2030.5,2049.92
2023-05-05,2049.894,2053.04,1999.59,2015.94
2023-05-08,2016.65,2029.36,2014.4,2020.44
2023-05-09,2020.92,2037.524,2019.615,2034.15
2023-05-10,2033.704,2048.15,2021.67,2029.4
2023-05-11,2029.39,2041.238,2011.3,2014.9
2023-05-12,2014.71,2022.56,2001.07,2010.9
2023-05-15,2010.6,2022.114,2007.43,2015.73
2023-05-16,2015.624,2018.28,1985.6,1988.24
2023-05-17,1988.24,1993.01,1975.12,1981.32
2023-05-18,1981.35,1986,1951.87,1957.66
2023-05-19,1957.78,1984.16,1954.14,1977.3
2023-05-22,1977.64,1982.56,1968.98,1969.2
2023-05-23,1971.21,1977.71,1954.37,1974.74
2023-05-24,1974.7,1985.27,1956.83,1957.08
2023-05-25,1957.11,1964.76,1938.96,1939.96
2023-05-26,1939.96,1957.25,1936.9,1946.13
2023-05-30,1943.84,1963.53,1932.2,1958.12
2023-05-31,1958.53,1974.75,1953.8,1962.77
2023-06-01,1962.8,1983.1,1953.47,1976.69
2023-06-02,1976.84,1983.44,1947.5,1947.5
2023-06-05,1947.97,1963.97,1938.275,1961.084
2023-06-06,1961.24,1966.34,1954.51,1963.23
2023-06-07,1963.26,1970.15,1939.89,1940.21
2023-06-08,1940.134,1970.534,1939.73,1965.7
2023-06-09,1965.66,1973.13,1956.769,1960.78
2023-06-12,1960.71,1966.97,1949.32,1956.91
2023-06-13,1957.14,1971.024,1940.13,1943.09
2023-06-14,1943.26,1960.29,1939.83,1941.804
2023-06-15,1941.94,1960.24,1925.055,1954.955
2023-06-16,1957.32,1967.89,1953.43,1957.3
2023-06-20,1950.58,1956.74,1929.92,1935.16
2023-06-21,1935.16,1939.47,1919.32,1932.198
2023-06-22,1932.11,1934.98,1912.53,1913.53
2023-06-23,1913.504,1937.33,1910.26,1920.26
2023-06-26,1921.1,1933.31,1921.1,1922.25
2023-06-27,1922.72,1930.659,1911,1913.46
2023-06-28,1913.41,1917.22,1902.76,1907.68
2023-06-29,1907.71,1913.089,1893.12,1907.41
2023-06-30,1908.01,1922.72,1900.652,1919.36
2023-07-03,1919.31,1931.09,1910.13,1920.73
2023-07-05,1925.47,1934.973,1914.51,1914.51
2023-07-06,1914.51,1927.55,1902.75,1910.81
2023-07-07,1910.78,1934.821,1909.69,1925
2023-07-10,1925.43,1928.13,1912.76,1925.08
2023-07-11,1925.16,1938.435,1924.48,1932.21
2023-07-12,1932.3,1959.66,1932.3,1956.4
2023-07-13,1956.4,1963.63,1952.51,1959.944
2023-07-14,1960.04,1963.81,1951.06,1954.8
2023-07-17,1955.28,1959.83,1945.89,1954.28
2023-07-18,1953.554,1984.32,1953.554,1978.61
2023-07-19,1978.61,1980.894,1969.9,1976.18
2023-07-20,1976.69,1987.42,1965.47,1969.25
2023-07-21,1969.25,1973.8,1956.946,1960.8
2023-07-24,1961.7,1967.864,1953.579,1954.65
2023-07-25,1954.65,1965.66,1952.03,1964.83
2023-07-26,1964.86,1978.284,1962.15,1971.25
2023-07-27,1972.83,1982.15,1942.62,1945.715
2023-07-28,1946.005,1963.52,1945.57,1959.12
2023-07-31,1959.1,1972.354,1950.962,1965.58
2023-08-01,1965.5,1966.05,1941.24,1950.029
2023-08-02,1950.55,1954.774,1933.067,1933.64
2023-08-03,1933.64,1938.925,1929.64,1933.705
2023-08-04,1933.755,1946.881,1925.51,1942.69
2023-08-07,1942.69,1946.73,1931.6,1936.415
2023-08-08,1936.35,1938.11,1922.883,1924.84
2023-08-09,1924.95,1932.36,1914.15,1914.675
2023-08-10,1914.95,1930.15,1912.025,1912.025
2023-08-11,1912.049,1920.94,1910.95,1913.04
2023-08-14,1913.46,1918.125,1902.8,1907.15
2023-08-15,1906.59,1911.594,1896.5,1901.639
2023-08-16,1901.63,1907.19,1891.72,1891.91
2023-08-17,1891.91,1903.425,1885.09,1889.62
2023-08-18,1889.085,1896.773,1886.87,1888.9
2023-08-21,1889.21,1898.741,1884.89,1894.27
2023-08-22,1894.27,1904.5,1889.2,1897.191
2023-08-23,1897.151,1920.31,1897.151,1915.42
2023-08-24,1915.14,1923.37,1911.88,1916.82
2023-08-25,1916.705,1922.48,1903.74,1914.52
2023-08-28,1914.52,1926.04,1912.94,1919.598
2023-08-29,1919.561,1938.12,1914.57,1936.9
2023-08-30,1936.96,1949.05,1935.11,1942.23
2023-08-31,1942.1,1947.87,1939.17,1939.96
2023-09-01,1939.595,1952.95,1934.52,1939.3
2023-09-05,1938.2,1938.99,1925.48,1925.64
2023-09-06,1925.66,1929.165,1915.39,1916.37
2023-09-07,1916.45,1923.58,1916.32,1919.37
2023-09-08,1919.43,1929.69,1917.47,1918.07
2023-09-11,1918.89,1930.69,1916.66,1921.588
2023-09-12,1921.508,1924.48,1907.68,1911.675
2023-09-13,1912.148,1915.72,1905.68,1908.41
2023-09-14,1908.46,1912.9,1901.11,1910.63
2023-09-15,1910.63,1930.41,1909.93,1923.56
2023-09-18,1923.57,1934.18,1922.69,1933.04
2023-09-19,1933.2,1937.361,1929.86,1931.288
2023-09-20,1931.65,1947.39,1928.01,1930.78
2023-09-21,1930.57,1931.57,1913.99,1919.63
2023-09-22,1919.12,1929.12,1919.12,1924.68
2023-09-25,1925.23,1927.19,1915.328,1915.84
2023-09-26,1916.79,1916.89,1899.23,1900.35
2023-09-27,1900.52,1903.977,1872.65,1875.53
2023-09-28,1875.53,1879.581,1857.819,1864.59
2023-09-29,1865.24,1879.81,1846.42,1848.1
2023-10-02,1848.46,1849.96,1827.22,1827.95
2023-10-03,1827.95,1833.35,1815.3,1822.7
2023-10-04,1822.7,1830.67,1816.69,1821.02
2023-10-05,1821.1,1829.23,1813.07,1820.01
2023-10-06,1820.23,1834.83,1810.58,1832.54
